Project,Package,Smell,Description
commons-lang,org.apache.commons.lang3,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 287
commons-lang,org.apache.commons.lang3,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 56901
commons-lang,org.apache.commons.lang3,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.lang3.text.translate; org.apache.commons.lang3.builder; org.apache.commons.lang3.math; org.apache.commons.lang3.text; org.apache.commons.lang3.time; org.apache.commons.lang3.stream; org.apache.commons.lang3.exception
commons-lang,org.apache.commons.lang3,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppendableJoiner; AppendableJoiner.Builder; StringUtils; Strings; Strings.Builder; Strings.CiStrings; Strings.CsStrings; ClassUtilsOssFuzzTest; StringUtilsGetDigitsBenchmark; CharSequenceUtilsTest; SystemPropertiesTest; StringUtilsTest; CharSequenceUtilsBenchmark; ArrayUtilsSetTest; ClassUtilsTest; ClassUtilsTest.CX; ClassUtilsTest.IA; ClassUtilsTest.IB; ClassUtilsTest.IC; ClassUtilsTest.ID; ClassUtilsTest.IE; ClassUtilsTest.IF; ClassUtilsTest.Inner; StringUtilsValueOfTest; StringUtilsStartsEndsWithTest; StringUtilsEmptyBlankTest; StringsTest; StringUtilsSubstringTest; ArrayUtilsTest; ArrayUtilsTest.TestClass; AbstractLangTest; BooleanUtilsTest; ArrayUtilsAddTest; RandomUtilsTest; LocaleUtilsTest; StringUtilsIsMixedCaseTest; StringUtilsContainsTest; StringUtilsAbbreviateTest; StringUtilsTrimStripTest; DoubleRangeTest; ArrayFillTest; StringUtilsEqualsIndexOfTest; AppendableJoinerTest; StringUtilsIsTest; RandomUtils; RandomStringUtils; CachedRandomBits; RandomStringUtilsTest; CachedRandomBitsTest; CachedRandomBitsTest.MockRandom; ThreadUtils; ThreadUtils.AlwaysTruePredicate; ThreadUtils.ThreadGroupPredicate; ThreadUtils.ThreadPredicate; ThreadUtilsTest; ThreadUtilsTest.TestThread; ClassUtils; ClassUtils.Interfaces; ArrayUtils; BooleanUtils; SystemProperties; ObjectUtils; ObjectUtils.Null; SystemUtils; AnnotationUtils; EnumUtils; Validate; ArchUtils; EnumUtilsTest; Month; TooMany; Traffic; Traffic2; AnnotationUtilsTest; AnnotationUtilsTest.Stooge; SystemUtilsTest; CharUtilsPerfRun; HashSetvBitSetBenchmark; ArrayUtilsInsertTest; ConversionTest; ArrayUtilsRemoveTest; ObjectUtilsTest; ObjectUtilsTest.CharSequenceComparator; ObjectUtilsTest.CloneableString; ObjectUtilsTest.NonComparableCharSequence; ObjectUtilsTest.UncloneableString; LocaleProblems; ArrayUtilsRemoveMultipleTest; ArchUtilsTest; SerializationUtils; SerializationUtils.ClassLoaderAwareObjectInputStream; CharSetTest; CharRangeTest; SerializationUtilsTest; CharUtils; RuntimeEnvironment; StringEscapeUtils; StringEscapeUtils.CsvEscaper; StringEscapeUtils.CsvUnescaper; RuntimeEnvironmentTest; CharUtilsTest; StringEscapeUtilsTest; Conversion; Charsets; CharsetsTest; CharSetUtils; CharSet; CharRange; CharRange.CharacterIterator; CharSetUtilsTest; RegExUtils; JavaVersion; JavaVersionTest; RegExUtilsTest; CharSequenceUtils; ClassLoaderUtils; ClassLoaderUtilsTest; ArraySorter; ArraySorterTest; ClassPathUtils; ClassPathUtilsTest; Functions; Functions.FailableBiConsumer; Functions.FailableBiFunction; Functions.FailableBiPredicate; Functions.FailableCallable; Functions.FailableConsumer; Functions.FailableFunction; Functions.FailablePredicate; Functions.FailableRunnable; Functions.FailableSupplier; StreamsTest; FunctionsTest; FunctionsTest.CloseableObject; FunctionsTest.FailureOnOddInvocations; FunctionsTest.SomeException; FunctionsTest.Testable; IntegerRange; NumberRange; DoubleRange; IntegerRangeTest; SerializationException; Range; Range.ComparableComparator; RangeTest; RangeTest.DerivedComparableA; RangeTest.DerivedComparableB; LongRangeTest; BitField; BitFieldTest; LocaleUtils; LocaleUtils.SyncAvoid; ArrayFill; LongRange; NotImplementedException; NotImplementedExceptionTest; CharEncoding; CharEncodingTest; Enum64; Supplementary; ValidateTest; ClassNotFoundSerialization; SerializableSupplier]; [ThreadUtils.NamePredicate]; [ThreadUtils.ThreadIdPredicate]; [Streams; Streams.FailableStream]; [Streams.ArrayCollector]; [LangAssertions]; [StringUtilsJoinBenchmark]; [StringUtilsJoinBenchmark.BooleanArrayBenchmark]; [StringUtilsJoinBenchmark.ByteArrayBenchmark]; [StringUtilsJoinBenchmark.CharArrayBenchmark]; [StringUtilsJoinBenchmark.DoubleArrayBenchmark]; [StringUtilsJoinBenchmark.FloatArrayBenchmark]; [StringUtilsJoinBenchmark.IntArrayBenchmark]; [StringUtilsJoinBenchmark.LongArrayBenchmark]; [StringUtilsJoinBenchmark.ShortArrayBenchmark]; [StringUtilsJoinBenchmark.StringUtils_3_20_0]; [StringUtilsJoinBenchmark.StringUtils_3_21_0]; [ValidateTest.ExclusiveBetween]; [ValidateTest.WithComparable]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithDouble]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithLong]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.Finite]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.InclusiveBetween]; [ValidateTest.WithComparable]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithDouble]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithLong]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.IsAssignable]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.IsInstanceOf]; [ValidateTest.WithMessage]; [ValidateTest.WithMessageTemplate]; [ValidateTest.WithoutMessage]; [ValidateTest.IsTrue]; [ValidateTest.WithDoubleTemplate]; [ValidateTest.WithLongTemplate]; [ValidateTest.WithMessage]; [ValidateTest.WithMessageSupplier]; [ValidateTest.WithObjectTemplate]; [ValidateTest.WithoutMessage]; [ValidateTest.MatchesPattern]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NoNullElements]; [ValidateTest.WithArray]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotBlank]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotEmpty]; [ValidateTest.WithArray]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCharSequence]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMap]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotNaN]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotNull]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.UtilClassConventions]; [ValidateTest.ValidIndex]; [ValidateTest.WithArray]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCharSequence]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.ValidState]; [ValidateTest.WithoutMessage]; [ValidateTest.WitMessage]; [AnnotationUtilsTest.None]; [RangeTest.AbstractComparable]; [CharSequenceUtilsTest.RunTest]; [CharSequenceUtilsTest.TestData]; [CharSequenceUtilsTest.WrapperString]; [ObjectToStringRuntimeException]; [ClassUtilsTest.CY]; [ClassUtilsTest.DeeplyNested]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ArrayUtilsTest.LANG1261ParentObject]; [ArrayUtilsTest.LANG1261ChildObject]; [StringUtilsEqualsIndexOfTest.CustomCharSequence]; [AppendableJoinerTest.Fixture]. LCC (Lack of Component Cohesion) = 0.43
commons-lang,org.apache.commons.lang3,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.commons.lang3.function; org.apache.commons.lang3.mutable.
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.function; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.text.translate; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.mutable; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.builder; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.math; org.apache.commons.lang3
